MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Overall Qual,Overall Cond,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Pool Area,Misc Val,Sale Condition,SalePrice,Total SF,House Age,Years Since Remodel,Garage Age,Total Bathrooms,Total Porch SF,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD 
4.110873864173311,4.31748811353631,9.534667728624708,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,5,CompShg,VinylSd,VinylSd,0.0,3,TA,4,3,No,GLQ,6.674561391814426,Unf,0.0,137.0,GasA,Gd,Y,SBrkr,0.0,3,0.6931471805599453,3,6,Typ,1,Attchd,Fin,482.0,TA,TA,Y,0.0,0.0,Normal,12.15425816271595,7.846980982138788,13,12,13.0,2.5,5.5093883366279774,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4.110873864173311,4.3694478524670215,9.208238163884312,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,6,6,CompShg,VinylSd,VinylSd,3.044522437723423,3,TA,3,3,No,GLQ,6.401917196727186,Unf,0.0,324.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,4,7,Typ,1,Attchd,Fin,470.0,TA,TA,Y,0.0,0.0,Normal,12.18332077348399,7.836369760545124,12,12,12.0,2.5,5.983936280687191,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4.110873864173311,4.110873864173311,8.922791623969637,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,7,5,CompShg,VinylSd,VinylSd,0.0,3,TA,3,3,No,Unf,0.0,Unf,0.0,994.0,GasA,Gd,Y,SBrkr,0.0,3,0.6931471805599453,4,7,Typ,1,Attchd,Fin,442.0,TA,TA,Y,0.0,0.0,Normal,12.149507585033072,7.937017489515454,11,11,11.0,2.5,5.303304908059076,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4.110873864173311,4.330733340286331,9.210440366976517,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,6,5,CompShg,HdBoard,HdBoard,0.0,3,TA,4,3,No,Unf,0.0,Unf,0.0,763.0,GasA,Gd,Y,SBrkr,0.0,3,0.6931471805599453,3,7,Typ,1,Attchd,Fin,440.0,TA,TA,Y,0.0,0.0,Normal,12.077676615757813,7.791109510610028,17,16,17.0,2.5,5.488937726156687,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4.110873864173311,4.1588830833596715,9.036344063928219,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,6,5,CompShg,VinylSd,VinylSd,0.0,3,TA,4,3,No,Unf,0.0,Unf,0.0,789.0,GasA,Gd,Y,SBrkr,0.0,3,0.6931471805599453,3,7,Typ,1,Attchd,Fin,393.0,TA,TA,Y,0.0,0.0,Normal,12.102937429832547,7.720905251936779,12,12,12.0,2.5,4.330733340286331,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
3.044522437723423,4.663439094112067,9.371778717853713,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,6,6,CompShg,Plywood,Plywood,6.175867270105761,3,TA,4,3,No,BLQ,6.559615237493242,Unf,0.0,1139.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,3,7,Typ,1,Attchd,RFn,546.0,TA,TA,Y,0.0,0.0,Normal,12.154784614286667,8.213110697596676,33,33,33.0,2.0,4.812184355372417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3.044522437723423,4.189654742026425,9.042040056544483,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,6,CompShg,VinylSd,VinylSd,0.0,3,TA,3,3,No,BLQ,6.654152520183219,Unf,0.0,281.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,3,6,Typ,1,Attchd,Unf,304.0,TA,TA,Y,0.0,0.0,Normal,11.863589378812122,7.655864017616056,42,42,42.0,2.0,5.598421958998375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3.044522437723423,4.59511985013459,9.348274558065496,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,8,5,CompShg,VinylSd,VinylSd,5.303304908059076,4,TA,5,3,No,GLQ,7.105786129481271,Unf,0.0,486.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,4,7,Typ,1,Attchd,RFn,772.0,TA,TA,Y,0.0,0.0,Normal,12.631343648903034,8.134174272137903,3,2,2.0,3.0,3.9318256327243257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
3.044522437723423,4.564348191467836,9.407796816354407,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,7,5,CompShg,VinylSd,VinylSd,5.424950017481403,4,TA,4,3,Mn,BLQ,7.091742115095153,Unf,0.0,340.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,4,7,Typ,1,Attchd,RFn,532.0,TA,TA,Y,0.0,0.0,Partial,12.301387370778713,8.03365842788615,5,5,5.0,2.0,4.2626798770413155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
3.044522437723423,4.51085950651685,9.351926736038054,Pave,Reg,Lvl,AllPub,Inside,Gtl,PosN,Norm,9,5,CompShg,VinylSd,VinylSd,6.423246963533519,4,TA,5,3,No,GLQ,4.709530201312334,Unf,0.0,1588.0,GasA,Ex,Y,SBrkr,0.0,3,0.6931471805599453,5,7,Typ,1,Attchd,Fin,730.0,TA,TA,Y,0.0,0.0,Normal,12.524530013005734,8.130647968160584,5,5,5.0,2.0,5.58724865840025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
